Positive Similarity	Negative Similarity
7859658.0	2289.9775390625
7968923.0	2331.278076171875
8091741.0	2363.80810546875
8377880.0	2720.90673828125
9097322.0	2676.30078125
9415264.0	2556.643310546875
9697820.0	2632.792724609375
9697444.0	2778.892822265625
9523257.0	2585.16943359375
9545664.0	3017.7001953125
9362181.0	2445.540771484375
9331955.0	2363.826171875
9472440.0	2287.501953125
9283949.0	2344.87158203125
9674820.0	4293.2421875
10027139.0	3034.020263671875
10548305.0	2765.890625
10602989.0	2930.975341796875
10755323.0	3179.268798828125
10739090.0	2969.9111328125
11227015.0	3833.716064453125
11483447.0	3118.484130859375
12033967.0	3135.255615234375
11756886.0	3096.54638671875
11638501.0	2912.982421875
11503572.0	14890.650390625
11967691.0	3645.42333984375
12360419.0	3101.936767578125
12560301.0	3295.7734375
12806034.0	3437.1396484375
13047326.0	3469.862548828125
12801953.0	4631.4931640625
13098589.0	3618.5927734375
13620021.0	3359.68798828125
13780569.0	3629.422119140625
13993393.0	3900.143798828125
14184976.0	3603.751953125
13401855.0	3898.3232421875
13074611.0	3100.534423828125
13171131.0	2919.124267578125
13161771.0	3098.450927734375
13477328.0	3125.329345703125
13494920.0	8822.2978515625
14090501.0	4208.74853515625
14727027.0	3667.943115234375
15116965.0	3972.59326171875
15404776.0	4268.43017578125
15960668.0	4474.97265625
16258448.0	5067.2314453125
16832272.0	4270.572265625
17232474.0	4248.10009765625
17481026.0	4446.49462890625
17437350.0	4609.20947265625
17251356.0	4241.7744140625
16611346.0	4157.69384765625
16538336.0	3671.881591796875
16735399.0	3602.80859375
16500426.0	3708.658203125
16442441.0	3712.91650390625
16537677.0	6726.45361328125
17324870.0	4404.6796875
18282140.0	4512.333984375
18946718.0	5019.1953125
19480180.0	5313.2578125
19895622.0	5524.74560546875
20108032.0	5345.60791015625
20942492.0	5433.07080078125
21120200.0	4948.14599609375
21292548.0	5069.1220703125
21252904.0	5368.49267578125
21203812.0	4947.90966796875
20330690.0	5171.1455078125
20149802.0	4234.662109375
20029828.0	4247.349609375
19924790.0	4234.85400390625
20790604.0	4645.9111328125
20813386.0	6437.8251953125
21917482.0	5693.1767578125
22852286.0	5631.791015625
23541236.0	6531.705078125
24290356.0	7108.951171875
25458518.0	7503.4697265625
25264948.0	7075.36767578125
26678540.0	7102.14990234375
27278626.0	6907.3193359375
27207462.0	6829.3681640625
27652092.0	6906.19482421875
27590962.0	15168.275390625
27953648.0	8150.60107421875
29070598.0	7033.09033203125
29344064.0	7704.20703125
28643362.0	7838.4619140625
30215086.0	8181.00048828125
29482906.0	8026.8408203125
29944944.0	8233.736328125
30444046.0	7804.4697265625
29434864.0	7703.80615234375
29028360.0	7763.6611328125
29764554.0	7627.63671875
29019428.0	7021.6083984375
29271704.0	6568.7587890625
29384294.0	6184.7724609375
28397098.0	6366.65234375
28673636.0	6354.93310546875
29177024.0	10114.505859375
30229444.0	7970.548828125
32018780.0	7510.98193359375
33150058.0	8370.4775390625
